rank,source_url,domain,source_type,curated_priority,final_source_quality_score,external_reference_score,row_count,day_count,tier_label,score_basis,note
17,https://theglobeandmail.com,theglobeandmail.com,company_specific,10800.0,0.65,0.65,7,4,tier_5_7,static_prior_only,
18,https://afr.com,afr.com,general_news,10000.0,0.65,0.65,725,27,tier_5_7,static_prior_only,
19,https://channelnewsasia.com,channelnewsasia.com,general_news,9990.0,0.65,0.65,733,27,tier_5_7,static_prior_only,
20,https://oilprice.com,oilprice.com,commodity_specialist,11000.0,0.65,0.65,538,27,tier_5_7,static_prior_only,
21,https://kitco.com,kitco.com,commodity_specialist,10985.0,0.65,0.65,231,21,tier_5_7,static_prior_only,
22,https://mining.com,mining.com,commodity_specialist,10970.0,0.68,0.68,249,26,tier_5_7,static_prior_only,
23,https://oilandgas360.com,oilandgas360.com,commodity_specialist,10180.0,0.68,0.68,124,23,tier_5_7,static_prior_only,
24,https://hellenicshippingnews.com,hellenicshippingnews.com,general_news,10795.0,0.65,0.65,1187,25,tier_5_7,static_prior_only,
25,https://gcaptain.com,gcaptain.com,general_news,10740.0,0.65,0.65,213,27,tier_5_7,static_prior_only,
26,https://shipandbunker.com,shipandbunker.com,general_news,10735.0,0.65,0.65,175,21,tier_5_7,static_prior_only,
27,https://rigzone.com,rigzone.com,general_news,10715.0,0.65,0.65,185,26,tier_5_7,static_prior_only,
28,https://argusmedia.com,argusmedia.com,general_news,10700.0,0.65,0.65,164,24,tier_5_7,static_prior_only,
29,https://worldoil.com,worldoil.com,general_news,10685.0,0.65,0.65,116,23,tier_5_7,static_prior_only,
30,https://bullionvault.com,bullionvault.com,general_news,10615.0,0.65,0.65,19,19,tier_5_7,static_prior_only,
31,https://nasdaq.com,nasdaq.com,general_news,10600.0,0.65,0.65,6,6,tier_5_7,static_prior_only,Expected exchange/market source
32,https://yahoo.com,yahoo.com,company_specific,10585.0,0.55,0.55,9403,27,tier_5_7,static_prior_only,
33,https://boj.or.jp,boj.or.jp,general_news,9680.0,0.00,0.00,9,6,tier_0_unknown,static_prior_only,"Expected central bank source, currently under-scored"
34,https://caixin.com,caixin.com,general_news,10420.0,0.00,0.00,27,15,tier_0_unknown,static_prior_only,"Expected China macro/markets source, currently under-scored"
35,https://caixinglobal.com,caixinglobal.com,general_news,10410.0,0.00,0.00,1,1,tier_0_unknown,static_prior_only,"Expected China macro/markets source, currently under-scored"
36,https://hkcna.hk,hkcna.hk,general_news,9725.0,0.00,0.00,1620,27,tier_0_unknown,static_prior_only,
37,https://bnnbloomberg.ca,bnnbloomberg.ca,general_news,11369.0,0.00,0.00,687,27,tier_0_unknown,static_prior_only,Bloomberg affiliate present in corpus
38,https://bloomberght.com,bloomberght.com,general_news,11360.0,0.00,0.00,747,27,tier_0_unknown,static_prior_only,Bloomberg affiliate present in corpus
39,https://cnbcafrica.com,cnbcafrica.com,market_wrap,1370.0,0.82,0.82,494,27,tier_8_9,static_prior_only,
40,https://actionnewsjax.com,actionnewsjax.com,general_news,980.0,0.00,0.00,294,27,tier_0_unknown,static_prior_only,
41,https://ctnewsjunkie.com,ctnewsjunkie.com,general_news,980.0,0.00,0.00,65,20,tier_0_unknown,static_prior_only,
42,https://thenewsjournal.net,thenewsjournal.net,general_news,940.0,0.00,0.00,30,19,tier_0_unknown,static_prior_only,
43,https://wsjm.com,wsjm.com,general_news,940.0,0.00,0.00,4,3,tier_0_unknown,static_prior_only,
44,https://morningstaronline.co.uk,morningstaronline.co.uk,general_news,925.0,0.00,0.00,381,24,tier_0_unknown,static_prior_only,
45,https://vernonmorningstar.com,vernonmorningstar.com,general_news,925.0,0.00,0.00,263,27,tier_0_unknown,static_prior_only,
46,https://southwalesargus.co.uk,southwalesargus.co.uk,general_news,875.0,0.00,0.00,1165,27,tier_0_unknown,static_prior_only,
47,https://shippingtribune.com,shippingtribune.com,general_news,860.0,0.00,0.00,104,21,tier_0_unknown,static_prior_only,
48,https://singletonargus.com.au,singletonargus.com.au,general_news,840.0,0.00,0.00,928,27,tier_0_unknown,static_prior_only,
49,https://thetelegraphandargus.co.uk,thetelegraphandargus.co.uk,general_news,840.0,0.00,0.00,856,27,tier_0_unknown,static_prior_only,
50,https://theargus.co.uk,theargus.co.uk,general_news,840.0,0.00,0.00,830,27,tier_0_unknown,static_prior_only,
51,https://macleayargus.com.au,macleayargus.com.au,general_news,840.0,0.00,0.00,606,27,tier_0_unknown,static_prior_only,
52,https://largus.fr,largus.fr,general_news,840.0,0.00,0.00,121,21,tier_0_unknown,static_prior_only,
53,https://timesargus.com,timesargus.com,general_news,840.0,0.00,0.00,118,25,tier_0_unknown,static_prior_only,
54,https://newsargus.com,newsargus.com,general_news,840.0,0.00,0.00,115,25,tier_0_unknown,static_prior_only,
55,https://argus-press.com,argus-press.com,general_news,840.0,0.00,0.00,32,22,tier_0_unknown,static_prior_only,
56,https://miningjournal.net,miningjournal.net,general_news,820.0,0.00,0.00,173,25,tier_0_unknown,static_prior_only,
57,https://mininggazette.com,mininggazette.com,general_news,820.0,0.00,0.00,143,25,tier_0_unknown,static_prior_only,
58,https://miningmx.com,miningmx.com,general_news,820.0,0.00,0.00,122,21,tier_0_unknown,static_prior_only,
59,https://mining-technology.com,mining-technology.com,general_news,820.0,0.00,0.00,110,20,tier_0_unknown,static_prior_only,
60,https://wausharaargus.com,wausharaargus.com,general_news,800.0,0.00,0.00,32,16,tier_0_unknown,static_prior_only,
61,https://jacksonprogress-argus.com,jacksonprogress-argus.com,general_news,800.0,0.00,0.00,31,17,tier_0_unknown,static_prior_only,
62,https://currentargus.com,currentargus.com,general_news,800.0,0.00,0.00,13,11,tier_0_unknown,static_prior_only,
63,https://condobolinargus.com.au,condobolinargus.com.au,general_news,800.0,0.00,0.00,12,9,tier_0_unknown,static_prior_only,
64,https://argusobserver.com,argusobserver.com,general_news,800.0,0.00,0.00,8,7,tier_0_unknown,static_prior_only,
65,https://argusred.com,argusred.com,general_news,800.0,0.00,0.00,1,1,tier_0_unknown,static_prior_only,
66,https://nikkeibp.co.jp,nikkeibp.co.jp,general_news,785.0,0.00,0.00,97,23,tier_0_unknown,static_prior_only,
67,https://juniorminingnetwork.com,juniorminingnetwork.com,general_news,780.0,0.00,0.00,372,15,tier_0_unknown,static_prior_only,
68,https://miningweekly.com,miningweekly.com,general_news,780.0,0.00,0.00,174,19,tier_0_unknown,static_prior_only,
69,https://canadianminingjournal.com,canadianminingjournal.com,general_news,780.0,0.00,0.00,108,19,tier_0_unknown,static_prior_only,
70,https://miningdigital.com,miningdigital.com,general_news,780.0,0.00,0.00,23,18,tier_0_unknown,static_prior_only,
71,https://azomining.com,azomining.com,general_news,780.0,0.00,0.00,22,15,tier_0_unknown,static_prior_only,
72,https://republicofmining.com,republicofmining.com,general_news,780.0,0.00,0.00,22,2,tier_0_unknown,static_prior_only,
73,https://nikkei.co.jp,nikkei.co.jp,general_news,745.0,0.00,0.00,20,13,tier_0_unknown,static_prior_only,
74,https://gizmodo.com,gizmodo.com,general_news,255.0,0.90,0.90,1398,27,tier_0_unknown,external_mbfc_only,
75,https://cnn.com,cnn.com,general_news,255.0,0.88,0.88,3192,27,tier_8_9,static_prior_only,
76,https://bbc.com,bbc.com,general_news,255.0,0.88,0.88,1353,27,tier_8_9,static_prior_only,
77,https://dailybreeze.com,dailybreeze.com,general_news,220.0,0.90,0.90,565,27,tier_0_unknown,external_mbfc_only,
78,https://therecord.com,therecord.com,general_news,220.0,0.90,0.90,486,27,tier_0_unknown,external_mbfc_only,
79,https://sookenewsmirror.com,sookenewsmirror.com,general_news,220.0,0.90,0.90,273,26,tier_0_unknown,external_mbfc_only,
80,https://techdirt.com,techdirt.com,general_news,220.0,0.90,0.90,251,26,tier_0_unknown,external_mbfc_only,
81,https://kxxv.com,kxxv.com,general_news,220.0,0.90,0.90,215,26,tier_0_unknown,external_mbfc_only,
82,https://parrysound.com,parrysound.com,general_news,220.0,0.90,0.90,128,26,tier_0_unknown,external_mbfc_only,
83,https://siouxlandnews.com,siouxlandnews.com,general_news,220.0,0.90,0.90,95,26,tier_0_unknown,external_mbfc_only,
84,https://rrr.org.au,rrr.org.au,general_news,220.0,0.90,0.90,44,25,tier_0_unknown,external_mbfc_only,
85,https://greenleft.org.au,greenleft.org.au,general_news,220.0,0.90,0.90,44,21,tier_0_unknown,external_mbfc_only,
86,https://links.org.au,links.org.au,general_news,220.0,0.90,0.90,42,23,tier_0_unknown,external_mbfc_only,
87,https://bbc.co.uk,bbc.co.uk,general_news,220.0,0.88,0.88,894,27,tier_8_9,static_prior_only,
88,https://npr.org,npr.org,general_news,220.0,0.88,0.88,575,27,tier_8_9,static_prior_only,
89,https://borsaitaliana.it,borsaitaliana.it,general_news,205.0,0.65,0.65,2207,25,tier_5_7,static_prior_only,
90,https://12newsnow.com,12newsnow.com,general_news,180.0,0.90,0.90,138,10,tier_0_unknown,external_mbfc_only,
91,https://cpa.org.au,cpa.org.au,general_news,180.0,0.90,0.90,86,7,tier_0_unknown,external_mbfc_only,
92,https://myeasternshoremd.com,myeasternshoremd.com,general_news,180.0,0.90,0.90,47,19,tier_0_unknown,external_mbfc_only,
93,https://amnesty.org.au,amnesty.org.au,general_news,180.0,0.90,0.90,34,16,tier_0_unknown,external_mbfc_only,
94,https://redwatch.org.au,redwatch.org.au,general_news,180.0,0.90,0.90,30,14,tier_0_unknown,external_mbfc_only,
95,https://joy.org.au,joy.org.au,general_news,180.0,0.90,0.90,25,13,tier_0_unknown,external_mbfc_only,
96,https://ravallirepublic.com,ravallirepublic.com,general_news,180.0,0.90,0.90,11,10,tier_0_unknown,external_mbfc_only,
97,https://somerset-kentucky.com,somerset-kentucky.com,general_news,180.0,0.90,0.90,11,8,tier_0_unknown,external_mbfc_only,
98,https://weatherforddemocrat.com,weatherforddemocrat.com,general_news,180.0,0.90,0.90,6,6,tier_0_unknown,external_mbfc_only,
99,https://thefiscaltimes.com,thefiscaltimes.com,general_news,180.0,0.90,0.90,6,6,tier_0_unknown,external_mbfc_only,
100,https://unicef.org.au,unicef.org.au,general_news,180.0,0.90,0.90,3,3,tier_0_unknown,external_mbfc_only,
101,https://redflag.org.au,redflag.org.au,general_news,180.0,0.90,0.90,2,2,tier_0_unknown,external_mbfc_only,
102,https://birdlife.org.au,birdlife.org.au,general_news,180.0,0.90,0.90,2,2,tier_0_unknown,external_mbfc_only,
103,https://pbsfm.org.au,pbsfm.org.au,general_news,180.0,0.90,0.90,1,1,tier_0_unknown,external_mbfc_only,
104,https://mastermariners.org.au,mastermariners.org.au,general_news,180.0,0.90,0.90,1,1,tier_0_unknown,external_mbfc_only,
105,https://theamericanconservative.com,theamericanconservative.com,general_news,170.0,0.75,0.75,131,27,tier_0_unknown,external_mbfc_only,
106,https://freerepublic.com,freerepublic.com,general_news,135.0,0.50,0.50,1563,27,tier_0_unknown,external_mbfc_only,
107,https://tickerreport.com,tickerreport.com,general_news,135.0,0.20,0.20,11273,27,tier_1_4,static_prior_only,
108,https://prnewswire.com,prnewswire.com,general_news,135.0,0.20,0.20,11130,27,tier_1_4,static_prior_only,
109,https://openpr.com,openpr.com,general_news,135.0,0.20,0.20,1807,24,tier_1_4,static_prior_only,
110,https://mailchi.mp,mailchi.mp,general_news,130.0,0.76,0.76,1,1,tier_0_unknown,external_adfontes_only,
111,https://indiatimes.com,indiatimes.com,company_specific,100.0,0.55,0.55,679,27,tier_5_7,static_prior_only,
112,https://businesstoday.in,businesstoday.in,company_specific,100.0,0.55,0.55,368,26,tier_5_7,static_prior_only,
113,https://financialcontent.com,financialcontent.com,general_news,100.0,0.20,0.20,916,25,tier_1_4,static_prior_only,
114,https://iheart.com,iheart.com,general_news,-45.0,0.00,0.00,53998,27,tier_0_unknown,static_prior_only,
115,https://zazoom.it,zazoom.it,general_news,-45.0,0.00,0.00,32516,26,tier_0_unknown,static_prior_only,
116,https://udn.com,udn.com,general_news,-45.0,0.00,0.00,27559,27,tier_0_unknown,static_prior_only,
117,https://baomoi.com,baomoi.com,general_news,-45.0,0.00,0.00,26273,27,tier_0_unknown,static_prior_only,
118,https://163.com,163.com,general_news,-45.0,0.00,0.00,21797,27,tier_0_unknown,static_prior_only,
119,https://sina.com.cn,sina.com.cn,general_news,-45.0,0.00,0.00,21209,27,tier_0_unknown,static_prior_only,
120,https://china.com,china.com,general_news,-45.0,0.00,0.00,18319,27,tier_0_unknown,static_prior_only,
121,https://tribunnews.com,tribunnews.com,general_news,-45.0,0.00,0.00,18087,27,tier_0_unknown,static_prior_only,
122,https://haberler.com,haberler.com,general_news,-45.0,0.00,0.00,17082,27,tier_0_unknown,static_prior_only,
123,https://inewsgr.com,inewsgr.com,general_news,-45.0,0.00,0.00,17077,27,tier_0_unknown,static_prior_only,
124,https://finanznachrichten.de,finanznachrichten.de,general_news,-45.0,0.00,0.00,16265,27,tier_0_unknown,static_prior_only,
125,https://dostor.org,dostor.org,general_news,-45.0,0.00,0.00,14833,27,tier_0_unknown,static_prior_only,
126,https://dailypolitical.com,dailypolitical.com,general_news,-45.0,0.00,0.00,13087,27,tier_0_unknown,static_prior_only,
127,https://kompas.com,kompas.com,general_news,-45.0,0.00,0.00,12884,27,tier_0_unknown,static_prior_only,
128,https://globo.com,globo.com,general_news,-45.0,0.00,0.00,11334,27,tier_0_unknown,static_prior_only,
129,https://ltn.com.tw,ltn.com.tw,general_news,-45.0,0.00,0.00,11274,27,tier_0_unknown,static_prior_only,
130,https://argaam.com,argaam.com,general_news,-45.0,0.00,0.00,11248,26,tier_0_unknown,static_prior_only,
131,https://manilatimes.net,manilatimes.net,general_news,-45.0,0.00,0.00,11123,27,tier_0_unknown,static_prior_only,
132,https://themarketsdaily.com,themarketsdaily.com,general_news,-45.0,0.00,0.00,10235,23,tier_0_unknown,static_prior_only,
133,https://yam.com,yam.com,general_news,-45.0,0.00,0.00,10021,27,tier_0_unknown,static_prior_only,
134,https://euronews.com,euronews.com,general_news,-45.0,0.00,0.00,9880,27,tier_0_unknown,static_prior_only,
135,https://cfi.net.cn,cfi.net.cn,general_news,-45.0,0.00,0.00,9657,27,tier_0_unknown,static_prior_only,
136,https://merkur.de,merkur.de,general_news,-45.0,0.00,0.00,9485,27,tier_0_unknown,static_prior_only,
137,https://naslovi.net,naslovi.net,general_news,-45.0,0.00,0.00,9333,27,tier_0_unknown,static_prior_only,
138,https://index.hr,index.hr,general_news,-45.0,0.00,0.00,9196,27,tier_0_unknown,static_prior_only,
139,https://itbear.com.cn,itbear.com.cn,general_news,-45.0,0.00,0.00,8463,27,tier_0_unknown,static_prior_only,
140,https://news.yam.md,news.yam.md,general_news,-45.0,0.00,0.00,8295,27,tier_0_unknown,static_prior_only,
141,https://cnfol.com,cnfol.com,general_news,-45.0,0.00,0.00,8089,27,tier_0_unknown,static_prior_only,
142,https://hna.de,hna.de,general_news,-45.0,0.00,0.00,7956,27,tier_0_unknown,static_prior_only,
143,https://ansa.it,ansa.it,general_news,-45.0,0.00,0.00,7936,27,tier_0_unknown,static_prior_only,
144,https://zol.com.cn,zol.com.cn,general_news,-45.0,0.00,0.00,7837,27,tier_0_unknown,static_prior_only,
145,https://allafrica.com,allafrica.com,general_news,-45.0,0.00,0.00,7750,27,tier_0_unknown,static_prior_only,
146,https://cna.com.tw,cna.com.tw,general_news,-45.0,0.00,0.00,7727,27,tier_0_unknown,static_prior_only,
147,https://news.mail.ru,news.mail.ru,general_news,-45.0,0.00,0.00,7565,27,tier_0_unknown,static_prior_only,
148,https://vetogate.com,vetogate.com,general_news,-45.0,0.00,0.00,7369,27,tier_0_unknown,static_prior_only,
149,https://thehindu.com,thehindu.com,general_news,-45.0,0.00,0.00,7360,27,tier_0_unknown,static_prior_only,
150,https://larazon.es,larazon.es,general_news,-45.0,0.00,0.00,6903,27,tier_0_unknown,static_prior_only,
151,https://antaranews.com,antaranews.com,general_news,-45.0,0.00,0.00,6841,27,tier_0_unknown,static_prior_only,
152,https://setn.com,setn.com,general_news,-45.0,0.00,0.00,6602,27,tier_0_unknown,static_prior_only,
153,https://ettoday.net,ettoday.net,general_news,-45.0,0.00,0.00,6601,27,tier_0_unknown,static_prior_only,
154,https://sapo.pt,sapo.pt,general_news,-45.0,0.00,0.00,6444,27,tier_0_unknown,static_prior_only,
155,https://ifeng.com,ifeng.com,general_news,-45.0,0.00,0.00,6427,27,tier_0_unknown,static_prior_only,
156,https://chinatimes.com,chinatimes.com,general_news,-45.0,0.00,0.00,6366,27,tier_0_unknown,static_prior_only,
157,https://uol.com.br,uol.com.br,general_news,-45.0,0.00,0.00,6305,27,tier_0_unknown,static_prior_only,
158,https://eastmoney.com,eastmoney.com,general_news,-45.0,0.00,0.00,6266,27,tier_0_unknown,static_prior_only,
159,https://24tv.ua,24tv.ua,general_news,-45.0,0.00,0.00,6104,27,tier_0_unknown,static_prior_only,
160,https://aninews.in,aninews.in,general_news,-45.0,0.00,0.00,6092,27,tier_0_unknown,static_prior_only,
161,https://kreiszeitung.de,kreiszeitung.de,general_news,-45.0,0.00,0.00,5938,27,tier_0_unknown,static_prior_only,
162,https://finanzen.net,finanzen.net,general_news,-45.0,0.00,0.00,5825,27,tier_0_unknown,static_prior_only,
163,https://tvguide.co.uk,tvguide.co.uk,general_news,-45.0,0.00,0.00,5735,27,tier_0_unknown,static_prior_only,
164,https://az-online.de,az-online.de,general_news,-45.0,0.00,0.00,5721,27,tier_0_unknown,static_prior_only,
165,https://oem.com.mx,oem.com.mx,general_news,-45.0,0.00,0.00,5653,27,tier_0_unknown,static_prior_only,
166,https://newspim.com,newspim.com,general_news,-45.0,0.00,0.00,5541,27,tier_0_unknown,static_prior_only,
167,https://abc.es,abc.es,general_news,-45.0,0.00,0.00,5538,27,tier_0_unknown,static_prior_only,
168,https://dailymail.com,dailymail.com,general_news,-45.0,0.00,0.00,5452,27,tier_0_unknown,static_prior_only,
169,https://deperu.com,deperu.com,general_news,-45.0,0.00,0.00,5389,27,tier_0_unknown,static_prior_only,
170,https://newkerala.com,newkerala.com,general_news,-45.0,0.00,0.00,5340,27,tier_0_unknown,static_prior_only,
171,https://aktiencheck.de,aktiencheck.de,general_news,-45.0,0.00,0.00,5295,27,tier_0_unknown,static_prior_only,
172,https://birgun.net,birgun.net,general_news,-45.0,0.00,0.00,5232,27,tier_0_unknown,static_prior_only,
173,https://shorouknews.com,shorouknews.com,general_news,-45.0,0.00,0.00,5180,27,tier_0_unknown,static_prior_only,
174,https://europapress.es,europapress.es,general_news,-45.0,0.00,0.00,5128,27,tier_0_unknown,static_prior_only,
175,https://welt.de,welt.de,general_news,-45.0,0.00,0.00,5006,27,tier_0_unknown,static_prior_only,
176,https://obozrevatel.com,obozrevatel.com,general_news,-45.0,0.00,0.00,4960,27,tier_0_unknown,static_prior_only,
177,https://livehindustan.com,livehindustan.com,general_news,-45.0,0.00,0.00,4882,27,tier_0_unknown,static_prior_only,
178,https://lenta.ru,lenta.ru,general_news,-45.0,0.00,0.00,4824,27,tier_0_unknown,static_prior_only,
179,https://fool.com,fool.com,general_news,-45.0,0.00,0.00,4819,27,tier_0_unknown,static_prior_only,
180,https://miragenews.com,miragenews.com,general_news,-45.0,0.00,0.00,4803,27,tier_0_unknown,static_prior_only,
181,https://dw.com,dw.com,general_news,-45.0,0.00,0.00,4716,27,tier_0_unknown,static_prior_only,
182,https://heraldcorp.com,heraldcorp.com,general_news,-45.0,0.00,0.00,4697,27,tier_0_unknown,static_prior_only,
183,https://elperiodico.com,elperiodico.com,general_news,-45.0,0.00,0.00,4659,27,tier_0_unknown,static_prior_only,
184,https://n-tv.de,n-tv.de,general_news,-45.0,0.00,0.00,4600,27,tier_0_unknown,static_prior_only,
185,https://indiagazette.com,indiagazette.com,general_news,-45.0,0.00,0.00,4508,27,tier_0_unknown,static_prior_only,
186,https://ilpost.it,ilpost.it,general_news,-45.0,0.00,0.00,4498,27,tier_0_unknown,static_prior_only,
187,https://prokerala.com,prokerala.com,general_news,-45.0,0.00,0.00,4489,27,tier_0_unknown,static_prior_only,
188,https://sudouest.fr,sudouest.fr,general_news,-45.0,0.00,0.00,4476,27,tier_0_unknown,static_prior_only,
189,https://ria.ru,ria.ru,general_news,-45.0,0.00,0.00,4412,27,tier_0_unknown,static_prior_only,
190,https://liputan6.com,liputan6.com,general_news,-45.0,0.00,0.00,4410,27,tier_0_unknown,static_prior_only,
191,https://vesti.ru,vesti.ru,general_news,-45.0,0.00,0.00,4360,27,tier_0_unknown,static_prior_only,
192,https://hindustantimes.com,hindustantimes.com,general_news,-45.0,0.00,0.00,4350,27,tier_0_unknown,static_prior_only,
193,https://edaily.co.kr,edaily.co.kr,general_news,-45.0,0.00,0.00,4317,27,tier_0_unknown,static_prior_only,
194,https://time.mk,time.mk,general_news,-45.0,0.00,0.00,4309,27,tier_0_unknown,static_prior_only,
195,https://insidermonkey.com,insidermonkey.com,general_news,-45.0,0.00,0.00,4271,27,tier_0_unknown,static_prior_only,
196,https://bankingnews.gr,bankingnews.gr,general_news,-45.0,0.00,0.00,4265,27,tier_0_unknown,static_prior_only,
197,https://investegate.co.uk,investegate.co.uk,general_news,-45.0,0.00,0.00,4211,23,tier_0_unknown,static_prior_only,
198,https://drimble.nl,drimble.nl,general_news,-45.0,0.00,0.00,4169,27,tier_0_unknown,static_prior_only,
199,https://jagran.com,jagran.com,general_news,-45.0,0.00,0.00,4080,27,tier_0_unknown,static_prior_only,
200,https://rt.com,rt.com,general_news,-45.0,0.00,0.00,4075,27,tier_0_unknown,static_prior_only,
